State,Moru,Chaas,Ghol,Majjiga,Laban,Most Popular
Kerala,98%,,<1%,,2%,Moru
Andhra Pradesh,3%,5%,1%,91%,,Majjiga
Telangana,9%,8%,3%,79%,1%,Majjiga
Gujarat,4%,89%,7%,,<1%,Chaas
Karnataka,49%,14%,2%,34%,1%,Moru
Maharashtra,14%,58%,22%,4%,2%,Chaas
Tamil Nadu,69%,16%,<1%,13%,2%,Moru
Meghalaya,,,,,100%,Laban
Delhi,18%,56%,20%,,6%,Chaas
Manipur,,,,,100%,Laban
West Bengal,5%,34%,51%,,10%,Ghol
Rajasthan,7%,28%,63%,,2%,Ghol
Jharkhand,,35%,65%,,,Ghol
Uttarakhand,8%,59%,33%,,,Chaas
Chhattisgarh,,43%,57%,,,Ghol
Himachal Pradesh,,,100%,,,Ghol
Odisha,23%,60%,17%,,,Chaas
Haryana,26%,51%,18%,,5%,Chaas
Madhya Pradesh,14%,32%,52%,,2%,Ghol
Uttar Pradesh,17%,46%,32%,,5%,Chaas
Punjab,21%,72%,,,7%,Chaas
Bihar,3%,38%,52%,,7%,Ghol
Chandigarh,,,100%,,,Ghol
Andaman and Nicobar Islands,,,,,,None
Puducherry,,,,,,None
Goa,,,,,,None
Jammu and Kashmir,,,,,,None
Assam,,,,,,None
Arunachal Pradesh,,,,,,None
Daman and Diu,,,,,,None
Dadra and Nagar Haveli,,,,,,None
Lakshadweep,,,,,,None
Mizoram,,,,,,None
Nagaland,,,,,,None
Sikkim,,,,,,None
Tripura,,,,,,None